ebay_url,item_details_url,ebay_seller_url,ebay_title,ebay_item_number,ebay_product_condition,ebay_price,ebay_seller,ebay_upc,ebay_mpn,ebay_brand
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/MILWAUKEE-48-22-1903D-FASTBACK-FLIP-UTILITY-KNIFE-W-STORAGE-50-BLADES-NISP-FS/312663897984?hash=item48cc387780:g:pEoAAOSw75Jc~bll,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,MILWAUKEE 48-22-1903D FASTBACK FLIP UTILITY KNIFE W/STORAGE & 50 BLADES NISP FS,312663897984,New,"INR 1,976.75(including shipping)",waverlyhills1,0033287160617,P122,MILWAUKEE
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/HARRIS-STAY-SILV-6-6620F-050-X-1-8-25-POUND-BOX-FACTORY-SEALED-NEW-FREE-SHP/311798325065?hash=item4898a0df49:g:mFEAAOSw44BYm2Zs,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"HARRIS STAY-SILV-6 6620F .050"" X 1/8"" 25-POUND BOX FACTORY SEALED-NEW-FREE SHP",311798325065,New,"INR 57,827.63(including shipping)",waverlyhills1,0684032013759,6620F,Harris
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Ultimate-UP-1-Fan-Blade-Hub-Blower-Wheel-Puller-Remover-Sensible-Prods-F-SP-NISP/312905292222?hash=item48da9bd9be:g:~yUAAOSwVkxcoTNG,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,Ultimate UP-1 Fan Blade Hub&Blower Wheel Puller Remover-Sensible Prods-F/SP NISP,312905292222,New,"INR 3,471.54(including shipping)",waverlyhills1,786122100018,UP-1,Sensible Products
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/TurboTorch-0386-0339-X-6MC-Torch-Kit-Swirl-Air-Acetylene-FREE-SHIPPING-NISP/252687637518?hash=item3ad55b5c0e:g:ZZsAAOSwZQRYVvaJ,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"TurboTorch  0386-0339 X-6MC Torch Kit Swirl, Air Acetylene-FREE SHIPPING NISP!!",252687637518,New,"INR 19,800.84(including shipping)",waverlyhills1,716352064521,0386-0339,TURBOTORCH
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Milwaukee-Radio-2790-20-12V-28Volt-iPhone-iPod-Ready-FREE-SHIP-NEW-DEMO-DISPLAY/312469103847?hash=item48c09c24e7:g:7hUAAOSwjARcX5Oj,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"Milwaukee Radio 2790-20 12V-28Volt iPhone iPod Ready, FREE SHIP NEW DEMO/DISPLAY",312469103847,New,"INR 24,805.44(including shipping)",waverlyhills1,045242200399,2790-20,MILWAUKEE
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Movado-Ardezzo-BOX-CASE-LINKS-PINS-FOR-Gold-STAINLESS-Womens-Watch-0694962-NEW/254199222957?hash=item3b2f7452ad:g:qSEAAOSwSdZaTVvu,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"Movado Ardezzo BOX, CASE,LINKS,PINS FOR Gold/STAINLESS Womens Watch-0694962 NEW!",254199222957,Pre-owned,"INR 8,851.80(including shipping)",waverlyhills1,775924906010,0694962,Movado
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/RIDGID-32870-42A-Four-Wheel-Pipe-Cutter-Stainless-Steel-GREAT-CONDITION-F-SHIP/312564361991?hash=item48c649ab07:g:~gsAAOSwGPNcBDEl,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"RIDGID 32870(42A)Four Wheel Pipe Cutter, Stainless Steel-GREAT CONDITION F/SHIP",312564361991,Used,"INR 10,836.35(including shipping)",waverlyhills1,095691328700,32870,RIDGID
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/RIDGID-R350RHF-21-Degree-3-1-2-Round-Head-Framing-Nailer-F-SHIP-NEW-SEALED-BOX/312105800712?hash=item48aaf49408:g:5HgAAOSw0kFayZZ2,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"RIDGID R350RHF 21 Degree 3-1/2"" Round-Head Framing Nailer-F/SHIP NEW SEALED BOX",312105800712,New,"INR 17,711.39(including shipping)",waverlyhills1,0648846066158,R350RHF,RIDGID
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/DEWALT-DCK299D1T1-FLEXVOLT-60V-20V-MAX-Lithium-Ion-Cordless-Brushless-Combo-Kit/311384705604?hash=item487ff98a44:g:AbQAAOSwySlaOw4-,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,DEWALT DCK299D1T1 FLEXVOLT 60V&20V-MAX Lithium-Ion Cordless Brushless Combo Kit!,311384705604,New,"INR 23,911.69(including shipping)",waverlyhills1,885911468039,DCK299D1T1,DEWALT
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Milwaukee-2712-22HD-M18-FUEL-HIGH-DEMAND-1-SDS-Plus-Rotary-Hammer-Kit-2018-NISB/254199222909?hash=item3b2f74527d:g:MIIAAOSwMEBaqzPe,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"Milwaukee 2712-22HD M18 FUEL HIGH DEMAND 1"" SDS-Plus Rotary Hammer Kit-2018 NISB",254199222909,New,"INR 46,770.86(including shipping)",waverlyhills1,0045242475643,2712-22HD,Milwaukee
